ORF GenomeID    FID TransporterFamily   TransporterSubfamily    Substrate   AutoAnnotation  IsCurated

PN96_RS07510	vn10844		vn10844	AAE		539	aspartate:alanine antiporter		2.A.81		X
PN96_RS00520	vn10844		vn10844	CaCA		172	sodium ion:calcium ion antiporter		2.A.19		X
PN96_RS14505	vn10844		vn10844	CDF		284	cation efflux		2.A.4		X
PN96_RS18050	vn10844		vn10844	CDF		285	cation efflux		2.A.4		X
PN96_RS22810	vn10844		vn10844	CDF		286	cation efflux		2.A.4		X
PN96_RS01930	vn10844		vn10844	CHR		319	chromate ion		2.A.51		X
PN96_RS06370	vn10844		vn10844	CHR		320	chromate ion		2.A.51		X
PN96_RS06375	vn10844		vn10844	CHR		321	chromate ion		2.A.51		X
PN96_RS18465	vn10844		vn10844	ClC		318	chloride ion channel		2.A.49		X
PN96_RS01765	vn10844		vn10844	CNT		292	sodium ion:nucleoside symporter		2.A.41		X
PN96_RS09245	vn10844		vn10844	CNT		293	sodium ion:nucleoside symporter		2.A.41		X
PN96_RS17150	vn10844		vn10844	CNT		294	sodium ion:nucleoside symporter		2.A.41		X
PN96_RS00260	vn10844		vn10844	CPA1		256	sodium ion:proton antiporter		2.A.36		X
PN96_RS13020	vn10844		vn10844	CPA1		257	sodium ion:proton antiporter		2.A.36		X
PN96_RS14455	vn10844		vn10844	CPA1		258	sodium ion:proton antiporter		2.A.36		X
PN96_RS23255	vn10844		vn10844	CPA1		260	sodium ion:proton antiporter		2.A.36		X
PN96_RS09490	vn10844		vn10844	CPA2		261	potassium/sodium ion:proton antiporter		2.A.37		X
PN96_RS14875	vn10844		vn10844	CPA2		265	potassium/sodium ion:proton antiporter		2.A.37		X
PN96_RS17395	vn10844		vn10844	CPA2		259	potassium/sodium ion:proton antiporter		2.A.37		X
PN96_RS22395	vn10844		vn10844	CPA2		267	potassium/sodium ion:proton antiporter		2.A.37		X
PN96_RS23175	vn10844		vn10844	CPA2		269	potassium/sodium ion:proton antiporter		2.A.37		X
PN96_RS21845	vn10844		vn10844	CPA3	MnhG	448	multicomponent sodium ion:proton antiporter		2.A.63		X
PN96_RS21850	vn10844		vn10844	CPA3	MnhF	449	multicomponent sodium ion:proton antiporter		2.A.63		X
PN96_RS21855	vn10844		vn10844	CPA3	MnhE	450	multicomponent sodium ion:proton antiporter		2.A.63		X
PN96_RS21860	vn10844		vn10844	CPA3	MnhD	1123	multicomponent sodium ion:proton antiporter		2.A.63		X
PN96_RS21865	vn10844		vn10844	CPA3	MnhC	452	multicomponent sodium ion:proton antiporter		2.A.63		X
PN96_RS21870	vn10844		vn10844	CPA3	MnhA	1125	multicomponent sodium ion:proton antiporter		2.A.63		X
PN96_RS03935	vn10844		vn10844	DAACS		223	proton/sodium ion:glutamate/aspartate symporter		2.A.23		X
PN96_RS06940	vn10844		vn10844	DAACS		224	proton/sodium ion:glutamate/aspartate symporter		2.A.23		X
PN96_RS10385	vn10844		vn10844	DAACS		225	proton/sodium ion:glutamate/aspartate symporter		2.A.23		X
PN96_RS15775	vn10844		vn10844	DAACS		226	proton/sodium ion:glutamate/aspartate symporter		2.A.23		X
PN96_RS15855	vn10844		vn10844	DAACS		227	sodium ion:serine/threonine symporter		2.A.23		X
PN96_RS06240	vn10844		vn10844	DASS		308	sodium ion:dicarboxylate/sulfate		2.A.47		X
PN96_RS07405	vn10844		vn10844	DASS		309	sodium ion:dicarboxylate/sulfate		2.A.47		X
PN96_RS11980	vn10844		vn10844	DASS		310	sodium ion:dicarboxylate/sulfate		2.A.47		X
PN96_RS12470	vn10844		vn10844	DASS		311	sodium ion:dicarboxylate/sulfate		2.A.47		X
PN96_RS14645	vn10844		vn10844	DASS		312	sodium ion:dicarboxylate/sulfate		2.A.47		X
PN96_RS20210	vn10844		vn10844	DASS		313	sodium ion:dicarboxylate/sulfate		2.A.47		X
PN96_RS14470	vn10844		vn10844	Dcu		144	C4-dicarboxylate		2.A.13		X
PN96_RS20625	vn10844		vn10844	Dcu		145	C4-dicarboxylate		2.A.13		X
PN96_RS18635	vn10844		vn10844	DcuC		1510	C4-dicarboxylate		2.A.61		X
PN96_RS20115	vn10844		vn10844	DcuC		445	C4-dicarboxylate		2.A.61		X
PN96_RS04770	vn10844		vn10844	DMT		478	drug/metabolite		2.A.7		X
PN96_RS05105	vn10844		vn10844	DMT		479	drug/metabolite		2.A.7		X
PN96_RS06640	vn10844		vn10844	DMT	RarD	480	chloramphenicol (RarD homolog)		2.A.7		X
PN96_RS13060	vn10844		vn10844	DMT		481	drug/metabolite		2.A.7		X
PN96_RS13190	vn10844		vn10844	DMT		482	drug/metabolite		2.A.7		X
PN96_RS13935	vn10844		vn10844	DMT		483	drug/metabolite		2.A.7		X
PN96_RS14640	vn10844		vn10844	DMT		485	drug/metabolite		2.A.7		X
PN96_RS15675	vn10844		vn10844	DMT	DME	486	drug/metabolite		2.A.7		X
PN96_RS16005	vn10844		vn10844	DMT	SMR	487	multidrug efflux (SMR)		2.A.7		X
PN96_RS17340	vn10844		vn10844	DMT		488	drug/metabolite		2.A.7		X
PN96_RS17510	vn10844		vn10844	DMT		489	drug/metabolite		2.A.7		X
PN96_RS17750	vn10844		vn10844	DMT	DME	490	drug/metabolite		2.A.7		X
PN96_RS18240	vn10844		vn10844	DMT		491	drug/metabolite		2.A.7		X
PN96_RS18675	vn10844		vn10844	DMT		492	drug/metabolite		2.A.7		X
PN96_RS19130	vn10844		vn10844	DMT	DME	493	drug/metabolite		2.A.7		X
PN96_RS19535	vn10844		vn10844	DMT		494	drug/metabolite		2.A.7		X
PN96_RS19550	vn10844		vn10844	DMT	DME	495	drug/metabolite		2.A.7		X
PN96_RS19855	vn10844		vn10844	DMT		496	drug/metabolite		2.A.7		X
PN96_RS19885	vn10844		vn10844	DMT	DME	497	drug/metabolite		2.A.7		X
PN96_RS20195	vn10844		vn10844	DMT		498	drug/metabolite		2.A.7		X
PN96_RS21795	vn10844		vn10844	DMT	RarD	499	chloramphenicol (RarD homolog)		2.A.7		X
PN96_RS22815	vn10844		vn10844	DMT		500	drug/metabolite		2.A.7		X
PN96_RS23465	vn10844		vn10844	DMT		501	drug/metabolite		2.A.7		X
PN96_RS08620	vn10844		vn10844	DNA-T		924	unknown substrate		3.A.11		X
PN96_RS16570	vn10844		vn10844	ESS		234	sodium ion:glutamate symporter		2.A.27		X
PN96_RS13565	vn10844		vn10844	F-ATPase		995	protons		3.A.2		X
PN96_RS13570	vn10844		vn10844	F-ATPase		996	protons		3.A.2		X
PN96_RS13575	vn10844		vn10844	F-ATPase		997	protons		3.A.2		X
PN96_RS13580	vn10844		vn10844	F-ATPase		998	protons		3.A.2		X
PN96_RS13585	vn10844		vn10844	F-ATPase		999	protons		3.A.2		X
PN96_RS13590	vn10844		vn10844	F-ATPase		1000	protons		3.A.2		X
PN96_RS13595	vn10844		vn10844	F-ATPase		1001	protons		3.A.2		X
PN96_RS13600	vn10844		vn10844	F-ATPase		1002	protons		3.A.2		X
PN96_RS13605	vn10844		vn10844	F-ATPase		1003	protons		3.A.2		X
PN96_RS22610	vn10844		vn10844	F-ATPase		1006	protons		3.A.2		X
PN96_RS22615	vn10844		vn10844	F-ATPase		1007	protons		3.A.2		X
PN96_RS22620	vn10844		vn10844	F-ATPase		1008	protons		3.A.2		X
PN96_RS22625	vn10844		vn10844	F-ATPase		1009	protons		3.A.2		X
PN96_RS22640	vn10844		vn10844	F-ATPase		1011	protons		3.A.2		X
PN96_RS09350	vn10844		vn10844	FeoB		1423	ferrous ion		9.A.8		X
PN96_RS14755	vn10844		vn10844	FeoB		1433	ferrous ion		9.A.8		X
PN96_RS07820	vn10844		vn10844	FNT		302	formate/nitrite		2.A.44		X
PN96_RS20605	vn10844		vn10844	FNT		303	formate/nitrite		2.A.44		X
PN96_RS21060	vn10844		vn10844	FNT		304	formate/nitrite		2.A.44		X
PN96_RS01470	vn10844		vn10844	GntP		532	gluconate		2.A.8		X
PN96_RS13235	vn10844		vn10844	GntP		534	gluconate		2.A.8		X
PN96_RS16855	vn10844		vn10844	GntP		535	gluconate		2.A.8		X
PN96_RS19070	vn10844		vn10844	GntP		536	gluconate		2.A.8		X
PN96_RS16280	vn10844		vn10844	GPH		174	multidrug efflux		2.A.2		X
PN96_RS00475	vn10844		vn10844	GPTS	HPr	1367	unknown substrate		4.A		X
PN96_RS09640	vn10844		vn10844	GPTS	HPr	1368	unknown substrate		4.A		X
PN96_RS09645	vn10844		vn10844	GPTS	EnzymeI	1363	unknown substrate		4.A		X
PN96_RS11080	vn10844		vn10844	GPTS	EnzymeI	1364	unknown substrate		4.A		X
PN96_RS04285	vn10844		vn10844	HAAAP		295	serine		2.A.42		X
PN96_RS06215	vn10844		vn10844	HAAAP		296	aromatic amino acid		2.A.42		X
PN96_RS10995	vn10844		vn10844	HAAAP		1512	aromatic amino acid		2.A.42		X
PN96_RS15975	vn10844		vn10844	HAAAP		298	aromatic amino acid		2.A.42		X
PN96_RS21315	vn10844		vn10844	HAAAP		299	serine		2.A.42		X
PN96_RS23050	vn10844		vn10844	HAAAP		301	tryptophan/tyrosine		2.A.42		X
PN96_RS00160	vn10844		vn10844	HCC		1401	hemolysin C (HlyC) homolog		9.A.40		X
PN96_RS01280	vn10844		vn10844	HCC		1402	heavy metal ion		9.A.40		X
PN96_RS09185	vn10844		vn10844	HCC		1403	hemolysin C (HlyC) homolog		9.A.40		X
PN96_RS02640	vn10844		vn10844	IIISP		1034	unknown substrate		3.A.6		X
PN96_RS02690	vn10844		vn10844	IIISP		1038	unknown substrate		3.A.6		X
PN96_RS02695	vn10844		vn10844	IIISP		1039	unknown substrate		3.A.6		X
PN96_RS02700	vn10844		vn10844	IIISP		1040	unknown substrate		3.A.6		X
PN96_RS02705	vn10844		vn10844	IIISP		1041	unknown substrate		3.A.6		X
PN96_RS02710	vn10844		vn10844	IIISP		1042	unknown substrate		3.A.6		X
PN96_RS00850	vn10844		vn10844	IISP		1053	signal recognition particle receptor alpha subunit (SR-alpha)		3.A.5		X
PN96_RS01885	vn10844		vn10844	IVSP		1058	unknown substrate		3.A.7		X
PN96_RS13120	vn10844		vn10844	IVSP		1069	unknown substrate		3.A.7		X
PN96_RS15550	vn10844		vn10844	LctP		146	L-lactate		2.A.14		X
PN96_RS20525	vn10844		vn10844	LIV-E	AzlC	527	branched-chain amino acid efflux (AzlC)		2.A.78		X
PN96_RS22975	vn10844		vn10844	LIV-E	AzlC	528	branched-chain amino acid efflux (AzlC)		2.A.78		X
PN96_RS11145	vn10844		vn10844	LIVCS		232	branched-chain amino acid		2.A.26		X
PN96_RS17125	vn10844		vn10844	LIVCS		233	branched-chain amino acid		2.A.26		X
PN96_RS00935	vn10844		vn10844	LysE		505	lysine efflux		2.A.75		X
PN96_RS01990	vn10844		vn10844	MFS		84	glycerol-3-phosphate		2.A.1		X
PN96_RS02120	vn10844		vn10844	MFS		85	Acetyl-CoA:CoA antiporter		2.A.1		X
PN96_RS04825	vn10844		vn10844	MFS		88	sugar		2.A.1		X
PN96_RS06335	vn10844		vn10844	MFS		91	glycerol-3-phosphate		2.A.1		X
PN96_RS06700	vn10844		vn10844	MFS		92	multidrug efflux		2.A.1		X
PN96_RS06715	vn10844		vn10844	MFS		93	multidrug efflux		2.A.1		X
PN96_RS06875	vn10844		vn10844	MFS		94	multidrug efflux		2.A.1		X
PN96_RS07590	vn10844		vn10844	MFS		95	multidrug efflux		2.A.1		X
PN96_RS08990	vn10844		vn10844	MFS		96	multidrug efflux		2.A.1		X
PN96_RS10545	vn10844		vn10844	MFS		103	multidrug efflux		2.A.1		X
PN96_RS10560	vn10844		vn10844	MFS		104	multidrug efflux		2.A.1		X
PN96_RS13625	vn10844		vn10844	MFS		106	multidrug efflux		2.A.1		X
PN96_RS13880	vn10844		vn10844	MFS		107	multidrug efflux		2.A.1		X
PN96_RS14145	vn10844		vn10844	MFS		108	multidrug efflux		2.A.1		X
PN96_RS14425	vn10844		vn10844	MFS		110	multidrug efflux		2.A.1		X
PN96_RS15495	vn10844		vn10844	MFS		111	multidrug efflux		2.A.1		X
PN96_RS15915	vn10844		vn10844	MFS		113	multidrug efflux		2.A.1		X
PN96_RS15955	vn10844		vn10844	MFS		114	glycerol-3-phosphate		2.A.1		X
PN96_RS17075	vn10844		vn10844	MFS		117	multidrug efflux		2.A.1		X
PN96_RS17560	vn10844		vn10844	MFS		118	multidrug efflux		2.A.1		X
PN96_RS17735	vn10844		vn10844	MFS		120	multidrug efflux		2.A.1		X
PN96_RS18115	vn10844		vn10844	MFS		121	multidrug efflux		2.A.1		X
PN96_RS18620	vn10844		vn10844	MFS		123	metabolite (benzoate)		2.A.1		X
PN96_RS19125	vn10844		vn10844	MFS		124	multidrug efflux		2.A.1		X
PN96_RS19415	vn10844		vn10844	MFS		125	nitrate		2.A.1		X
PN96_RS19690	vn10844		vn10844	MFS		126	multidrug efflux		2.A.1		X
PN96_RS19850	vn10844		vn10844	MFS		127	multidrug efflux		2.A.1		X
PN96_RS20095	vn10844		vn10844	MFS		128	oxalate:formate antiporter		2.A.1		X
PN96_RS20645	vn10844		vn10844	MFS		129	sugar efflux		2.A.1		X
PN96_RS22085	vn10844		vn10844	MFS		132	multidrug efflux		2.A.1		X
PN96_RS22135	vn10844		vn10844	MFS		133	cyanate		2.A.1		X
PN96_RS22375	vn10844		vn10844	MFS		136	metabolite (alpha-ketoglutarate)		2.A.1		X
PN96_RS00470	vn10844		vn10844	MgtE		1389	magnesium ion		9.A.19		X
PN96_RS01610	vn10844		vn10844	MgtE		1390	magnesium ion		9.A.19		X
PN96_RS18130	vn10844		vn10844	MgtE		1395	magnesium ion		9.A.19		X
PN96_RS01985	vn10844		vn10844	MIP		70	glycerol uptake		1.A.8		X
PN96_RS03030	vn10844		vn10844	MIP		71	glycerol uptake		1.A.8		X
PN96_RS01965	vn10844		vn10844	MIT		61	magnesium/cobalt ion		1.A.35		X
PN96_RS01710	vn10844		vn10844	MOP	MATE	457	multidrug efflux		2.A.66		X
PN96_RS04710	vn10844		vn10844	MOP	PST	458	polysaccharide export		2.A.66		X
PN96_RS05915	vn10844		vn10844	MOP	MATE	460	multidrug efflux		2.A.66		X
PN96_RS06095	vn10844		vn10844	MOP	MATE	461	multidrug efflux		2.A.66		X
PN96_RS07550	vn10844		vn10844	MOP	MATE	462	multidrug efflux		2.A.66		X
PN96_RS11035	vn10844		vn10844	MOP	MVF	463	virulence factor MviN		2.A.66		X
PN96_RS12315	vn10844		vn10844	MOP	PST	464	polysaccharide export		2.A.66		X
PN96_RS14250	vn10844		vn10844	MOP	MATE	465	multidrug efflux		2.A.66		X
PN96_RS14515	vn10844		vn10844	MOP	MATE	466	multidrug efflux		2.A.66		X
PN96_RS15235	vn10844		vn10844	MOP	PST	467	polysaccharide export		2.A.66		X
PN96_RS16695	vn10844		vn10844	MOP	MATE	468	multidrug efflux		2.A.66		X
PN96_RS18185	vn10844		vn10844	MOP	MATE	469	multidrug efflux		2.A.66		X
PN96_RS20745	vn10844		vn10844	MOP	MATE	470	multidrug efflux		2.A.66		X
PN96_RS08245	vn10844		vn10844	Mot/Exb		42	unknown substrate		1.A.30		X
PN96_RS08250	vn10844		vn10844	Mot/Exb		43	unknown substrate		1.A.30		X
PN96_RS10205	vn10844		vn10844	Mot/Exb		46	unknown substrate		1.A.30		X
PN96_RS00930	vn10844		vn10844	MscS		30	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS03050	vn10844		vn10844	MscS		31	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS15340	vn10844		vn10844	MscS		32	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS15565	vn10844		vn10844	MscS		33	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS16455	vn10844		vn10844	MscS		34	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS19215	vn10844		vn10844	MscS		35	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS22240	vn10844		vn10844	MscS		36	small-conductance mechanosensitive ion channel		1.A.23		X
PN96_RS18975	vn10844		vn10844	MSS		502	sodium ion:malonate symporter		2.A.70		X
PN96_RS18980	vn10844		vn10844	MSS		503	sodium ion:malonate symporter		2.A.70		X
PN96_RS00350	vn10844		vn10844	MTB		949	unknown substrate		3.A.15		X
PN96_RS01330	vn10844		vn10844	MTB		953	unknown substrate		3.A.15		X
PN96_RS01335	vn10844		vn10844	MTB		954	unknown substrate		3.A.15		X
PN96_RS01345	vn10844		vn10844	MTB		956	unknown substrate		3.A.15		X
PN96_RS12820	vn10844		vn10844	MTB		958	unknown substrate		3.A.15		X
PN96_RS12825	vn10844		vn10844	MTB		959	unknown substrate		3.A.15		X
PN96_RS12835	vn10844		vn10844	MTB		961	unknown substrate		3.A.15		X
PN96_RS12840	vn10844		vn10844	MTB		962	unknown substrate		3.A.15		X
PN96_RS12845	vn10844		vn10844	MTB		963	unknown substrate		3.A.15		X
PN96_RS12855	vn10844		vn10844	MTB		964	unknown substrate		3.A.15		X
PN96_RS12860	vn10844		vn10844	MTB		965	unknown substrate		3.A.15		X
PN96_RS12875	vn10844		vn10844	MTB		968	unknown substrate		3.A.15		X
PN96_RS06405	vn10844		vn10844	NCS1		281	cytosine/purines/uracil/thiamine/allantoin		2.A.39		X
PN96_RS10460	vn10844		vn10844	NCS1		282	cytosine/purines/uracil/thiamine/allantoin		2.A.39		X
PN96_RS22170	vn10844		vn10844	NCS1		283	cytosine/purines/uracil/thiamine/allantoin		2.A.39		X
PN96_RS02475	vn10844		vn10844	NCS2		287	xanthine/uracil		2.A.40		X
PN96_RS10290	vn10844		vn10844	NCS2		102	xanthine/uracil		2.A.40		X
PN96_RS12755	vn10844		vn10844	NCS2		289	xanthine/uracil		2.A.40		X
PN96_RS17715	vn10844		vn10844	NCS2		290	xanthine/uracil		2.A.40		X
PN96_RS17800	vn10844		vn10844	NCS2		291	xanthine/uracil		2.A.40		X
PN96_RS07530	vn10844		vn10844	NhaA		243	sodium ion:proton antiporter		2.A.33		X
PN96_RS03465	vn10844		vn10844	NhaB		244	sodium ion:proton antiporter		2.A.34		X
PN96_RS03215	vn10844		vn10844	NhaC		245	sodium ion:proton antiporter		2.A.35		X
PN96_RS03265	vn10844		vn10844	NhaC		246	sodium ion:proton antiporter		2.A.35		X
PN96_RS04845	vn10844		vn10844	NhaC		1509	sodium ion:proton antiporter		2.A.35		X
PN96_RS05055	vn10844		vn10844	NhaC		248	sodium ion:proton antiporter		2.A.35		X
PN96_RS07920	vn10844		vn10844	NhaC		249	sodium ion:proton antiporter		2.A.35		X
PN96_RS10500	vn10844		vn10844	NhaC		250	sodium ion:proton antiporter		2.A.35		X
PN96_RS18650	vn10844		vn10844	NhaC		252	sodium ion:proton antiporter		2.A.35		X
PN96_RS19810	vn10844		vn10844	NhaC		253	sodium ion:proton antiporter		2.A.35		X
PN96_RS19835	vn10844		vn10844	NhaC		254	sodium ion:proton antiporter		2.A.35		X
PN96_RS16655	vn10844		vn10844	NhaD		447	sodium ion:proton antiporter		2.A.62		X
PN96_RS00445	vn10844		vn10844	Nramp		329	manganese/iron ion		2.A.55		X
PN96_RS02210	vn10844		vn10844	NSS		220	sodium ion:solute symporter		2.A.22		X
PN96_RS03615	vn10844		vn10844	NSS		221	sodium ion:solute symporter		2.A.22		X
PN96_RS07700	vn10844		vn10844	NSS		222	sodium ion:solute symporter		2.A.22		X
PN96_RS10200	vn10844		vn10844	OOP		45	unknown substrate		1.B.6		X
PN96_RS13530	vn10844		vn10844	Oxa1		549	60 KD inner membrane protein OxaA homolog		2.A.9		X
PN96_RS05840	vn10844		vn10844	P-ATPase		1018	zinc/cadmium/cobalt ion		3.A.3		X
PN96_RS08715	vn10844		vn10844	P-ATPase		1019	zinc/cadmium/cobalt ion		3.A.3		X
PN96_RS09780	vn10844		vn10844	P-ATPase		1020	zinc/cadmium/cobalt ion		3.A.3		X
PN96_RS21450	vn10844		vn10844	P-ATPase		1023	calcium ion/manganese ion		3.A.3		X
PN96_RS11550	vn10844		vn10844	PiT		177	phosphate		2.A.20		X
PN96_RS11055	vn10844		vn10844	PNaS		384	sodium ion:phosphate symporter		2.A.58		X
PN96_RS11295	vn10844		vn10844	PNaS		140	sodium ion:phosphate symporter		2.A.58		X
PN96_RS09505	vn10844		vn10844	POT		166	proton:dipeptide/tripeptide symporter		2.A.17		X
PN96_RS03230	vn10844		vn10844	RhtB		552	neutral amino acid/multiple antibiotic resistance		2.A.76		X
PN96_RS05190	vn10844		vn10844	RhtB		517	amino acid efflux		2.A.76		X
PN96_RS06595	vn10844		vn10844	RhtB		518	amino acid efflux		2.A.76		X
PN96_RS13925	vn10844		vn10844	RhtB		519	amino acid efflux		2.A.76		X
PN96_RS14120	vn10844		vn10844	RhtB		520	amino acid efflux		2.A.76		X
PN96_RS16785	vn10844		vn10844	RhtB		521	amino acid efflux		2.A.76		X
PN96_RS17440	vn10844		vn10844	RhtB		522	amino acid efflux		2.A.76		X
PN96_RS18165	vn10844		vn10844	RhtB		523	amino acid efflux		2.A.76		X
PN96_RS18280	vn10844		vn10844	RhtB		524	amino acid efflux		2.A.76		X
PN96_RS19575	vn10844		vn10844	RhtB		525	amino acid efflux		2.A.76		X
PN96_RS22965	vn10844		vn10844	RhtB		526	amino acid efflux		2.A.76		X
PN96_RS01595	vn10844		vn10844	RND	HAE1	389	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS03840	vn10844		vn10844	RND		390	multidrug efflux		2.A.6		X
PN96_RS05170	vn10844		vn10844	RND		391	multidrug efflux		2.A.6		X
PN96_RS07720	vn10844		vn10844	RND	HAE1	394	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS08085	vn10844		vn10844	RND	HAE1	397	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS08945	vn10844		vn10844	RND	HAE1	399	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS13335	vn10844		vn10844	RND	HAE1	405	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS15700	vn10844		vn10844	RND		409	multidrug efflux		2.A.6		X
PN96_RS15960	vn10844		vn10844	RND		410	multidrug efflux		2.A.6		X
PN96_RS17595	vn10844		vn10844	RND	HAE1	416	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS17660	vn10844		vn10844	RND	HAE1	418	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS18370	vn10844		vn10844	RND	HAE1	424	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS19680	vn10844		vn10844	RND	HAE1	427	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS20715	vn10844		vn10844	RND	HAE1	430	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS21210	vn10844		vn10844	RND	HAE1	432	multidrug/solvent efflux (HAE1 subfamily)		2.A.6		X
PN96_RS22270	vn10844		vn10844	RND		436	multidrug efflux		2.A.6		X
PN96_RS23130	vn10844		vn10844	RND	HME	438	cobalt/zinc/cadmium ion efflux (HME subfamily)		2.A.6		X
PN96_RS00485	vn10844		vn10844	SSPTS	EnzymeIIA	1235	fructose		4.A		X
PN96_RS03595	vn10844		vn10844	SSPTS	EnzymeIIABC	1222	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS03605	vn10844		vn10844	SSPTS	EnzymeIIABC	1223	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS06630	vn10844		vn10844	SSPTS	EnzymeIIABC	1224	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS09475	vn10844		vn10844	SSPTS	EnzymeIIABC	1225	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS09650	vn10844		vn10844	SSPTS	EnzymeIIABC	1226	glucose		4.A		X
PN96_RS10105	vn10844		vn10844	SSPTS	EnzymeIIABC	1227	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS11670	vn10844		vn10844	SSPTS	EnzymeIIABC	1239	mannitol		4.A		X
PN96_RS11690	vn10844		vn10844	SSPTS	EnzymeIIABC	1228	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS13365	vn10844		vn10844	SSPTS	EnzymeIIABC	1229	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS15845	vn10844		vn10844	SSPTS	EnzymeIIABC	1230	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS15905	vn10844		vn10844	SSPTS	EnzymeIIABC	1231	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS17920	vn10844		vn10844	SSPTS	EnzymeIIABC	1232	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS19715	vn10844		vn10844	SSPTS	EnzymeIIABC	1233	glucose/maltose/N-acetylglucosamine		4.A		X
PN96_RS21195	vn10844		vn10844	SSPTS	EnzymeIIA	1241	mannitol/fructose		4.A		X
PN96_RS21205	vn10844		vn10844	SSPTS	EnzymeIIBC	1242	fructose		4.A		X
PN96_RS05985	vn10844		vn10844	SSS		187	sodium ion:proline symporter		2.A.21		X
PN96_RS06615	vn10844		vn10844	SSS		190	sodium ion:panthothenate symporter		2.A.21		X
PN96_RS09100	vn10844		vn10844	SSS		194	sodium ion:proline symporter		2.A.21		X
PN96_RS10790	vn10844		vn10844	SSS		196	sodium ion:proline symporter		2.A.21		X
PN96_RS14430	vn10844		vn10844	SSS		201	sodium ion:proline symporter		2.A.21		X
PN96_RS14445	vn10844		vn10844	SSS		202	sodium ion:proline symporter		2.A.21		X
PN96_RS16050	vn10844		vn10844	SSS		204	sodium ion:proline symporter		2.A.21		X
PN96_RS16390	vn10844		vn10844	SSS		205	sodium ion:proline symporter		2.A.21		X
PN96_RS16425	vn10844		vn10844	SSS		206	sodium ion:proline symporter		2.A.21		X
PN96_RS19735	vn10844		vn10844	SSS		211	sodium ion:proline symporter		2.A.21		X
PN96_RS21490	vn10844		vn10844	SSS		217	sodium ion:proline symporter		2.A.21		X
PN96_RS01395	vn10844		vn10844	SulP		323	sulfate		2.A.53		X
PN96_RS02440	vn10844		vn10844	SulP		324	sulfate		2.A.53		X
PN96_RS03510	vn10844		vn10844	SulP		325	sulfate		2.A.53		X
PN96_RS16160	vn10844		vn10844	SulP		327	sulfate		2.A.53		X
PN96_RS13025	vn10844		vn10844	Tat		454	protein export		2.A.64		X
PN96_RS13030	vn10844		vn10844	Tat		455	protein export		2.A.64		X
PN96_RS13035	vn10844		vn10844	Tat		456	protein export		2.A.64		X
PN96_RS02020	vn10844		vn10844	TDT		154	tellurite		2.A.16		X
PN96_RS18460	vn10844		vn10844	TDT		163	tellurite		2.A.16		X
PN96_RS21035	vn10844		vn10844	TerC		1399	tellurium ion efflux		9.A.30		X
PN96_RS00405	vn10844		vn10844	ThrE		529	unknown substrate		2.A.79		X
PN96_RS11820	vn10844		vn10844	ThrE		530	unknown substrate		2.A.79		X
PN96_RS11825	vn10844		vn10844	ThrE		531	unknown substrate		2.A.79		X
PN96_RS04190	vn10844		vn10844	TRAP-T		332	C4-dicarboxylate		2.A.56		X
PN96_RS04195	vn10844		vn10844	TRAP-T		333	C4-dicarboxylate		2.A.56		X
PN96_RS04200	vn10844		vn10844	TRAP-T		334	C4-dicarboxylate		2.A.56		X
PN96_RS09115	vn10844		vn10844	TRAP-T		339	C4-dicarboxylate		2.A.56		X
PN96_RS09120	vn10844		vn10844	TRAP-T		340	C4-dicarboxylate		2.A.56		X
PN96_RS09125	vn10844		vn10844	TRAP-T		341	C4-dicarboxylate		2.A.56		X
PN96_RS11870	vn10844		vn10844	TRAP-T		342	C4-dicarboxylate		2.A.56		X
PN96_RS18430	vn10844		vn10844	TRAP-T		345	C4-dicarboxylate		2.A.56		X
