Gene,COG,Description,Name,GOs,ECs,KEGG_ko,KEGG_Reaction,KEGG_TC,CAZy,PFAMs
PN96_RS01330,NOU,Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue,pilD,,3.4.23.43,ko:K02654,,3.A.15.2,,"DiS_P_DiS,Peptidase_A24"
PN96_RS01335,U,"COG1459 Type II secretory pathway, component PulF",pilC,"GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009297,GO:0009306,GO:0009987,GO:0015031,GO:0015628,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0022607,GO:0030030,GO:0030031,GO:0031224,GO:0032940,GO:0033036,GO:0042886,GO:0043711,GO:0044085,GO:0044425,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0098776",,ko:K02653,,3.A.15.2,,T2SSF
PN96_RS01340,NU,"COG2804 Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB",pilB,,,ko:K02652,,3.A.15.2,,"T2SSE,T2SSE_N"
PN96_RS01345,NU,Pilin (bacterial filament),pilA,,,ko:K02650,,3.A.15.2,,"N_methyl,Pilin"
PN96_RS01350,H,Belongs to the NadC ModD family,nadC,,2.4.2.19,ko:K00767,R03348,,,"QRPTase_C,QRPTase_N"
PN96_RS01355,V,COG3023 Negative regulator of beta-lactamase expression,ampD,,3.5.1.28,ko:K03806,,,,Amidase_2
PN96_RS01360,K,COG2186 Transcriptional regulators,pdhR,,,ko:K05799,,,,"FCD,GntR"
PN96_RS01365,C,"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)",aceE,,1.2.4.1,ko:K00163,"R00014,R00209,R01699,R03270",,,Transketolase_N
PN96_RS01370,C,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),aceF,,2.3.1.12,ko:K00627,"R00209,R02569",,,"2-oxoacid_dh,Biotin_lipoyl,E3_binding"
PN96_RS01375,C,"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",lpdA,"GO:0000166,GO:0003674,GO:0003824,GO:0004148,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006084,GO:0006085,GO:0006086,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006637,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009055,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019725,GO:0019752,GO:0022900,GO:0032787,GO:0032991,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035383,GO:0035384,GO:0036094,GO:0042592,GO:0042866,GO:0043167,GO:0043168,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0045250,GO:0045254,GO:0045454,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0048037,GO:0050660,GO:0050662,GO:0050789,GO:0050794,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0065007,GO:0065008,GO:0071616,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902494,GO:1990204",1.8.1.4,ko:K00382,"R00209,R01221,R01698,R03815,R07618,R08549",,,"Pyr_redox_2,Pyr_redox_dim"
PN96_RS01380,K,Transcriptional regulator,luxR,,,ko:K10913,,,,TetR_N
PN96_RS01385,F,Belongs to the purine pyrimidine phosphoribosyltransferase family,hpt,,2.4.2.8,ko:K00760,"R00190,R01132,R01229,R02142,R08237,R08238,R08245",,,Pribosyltran
PN96_RS01390,P,Reversible hydration of carbon dioxide,can,,4.2.1.1,ko:K01673,"R00132,R10092",,,Pro_CA
PN96_RS01395,P,COG0659 Sulfate permease and related transporters (MFS superfamily),,,,ko:K03321,,2.A.53.3,,"STAS,Sulfate_transp"
PN96_RS01400,V,"COG1131 ABC-type multidrug transport system, ATPase component",yadG,,,ko:K01990,,3.A.1,,ABC_tran
PN96_RS01405,V,Transport permease protein,,,,ko:K01992,,3.A.1,,ABC2_membrane
PN96_RS01410,H,Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate,panC,"GO:0000166,GO:0003674,GO:0003824,GO:0004592,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006573,GO:0006575,GO:0006732,GO:0006766,GO:0006767,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0033317,GO:0034641,GO:0035639,GO:0036094,GO:0042364,GO:0042398,GO:0043167,GO:0043168,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605",6.3.2.1,ko:K01918,R02473,,,Pantoate_ligase
PN96_RS01415,H,"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate",panB,"GO:0003674,GO:0003824,GO:0003864,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006575,GO:0006732,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016740,GO:0016741,GO:0016742,GO:0019752,GO:0032787,GO:0034641,GO:0042364,GO:0042398,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1901564,GO:1901566,GO:1901576",2.1.2.11,ko:K00606,R01226,,,Pantoate_transf
PN96_RS01420,H,"COG0801 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",folK,,2.7.6.3,ko:K00950,R03503,,,HPPK
PN96_RS01425,F,"Adds poly(A) tail to the 3' end of many RNAs, which usually targets these RNAs for decay. Plays a significant role in the global control of gene expression, through influencing the rate of transcript degradation, and in the general RNA quality control",pcnB,,2.7.7.19,ko:K00970,,,,"PolyA_pol,PolyA_pol_RNAbd,PolyA_pol_arg_C"
PN96_RS01430,J,"Catalyzes the tRNA-independent activation of glutamate in presence of ATP and the subsequent transfer of glutamate onto a tRNA(Asp). Glutamate is transferred on the 2-amino-5-(4,5- dihydroxy-2-cyclopenten-1-yl) moiety of the queuosine in the wobble position of the QUC anticodon",gluQ,"GO:0000166,GO:0003674,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008144,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034470,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564",,ko:K01894,,,,tRNA-synt_1c
PN96_RS01435,T,Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression,dksA,,,ko:K06204,,,,zf-dskA_traR
PN96_RS01440,S,Belongs to the SfsA family,sfsA,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005975,GO:0008150,GO:0008152,GO:0044238,GO:0071704,GO:0097159,GO:1901363",,ko:K06206,,,,SfsA
PN96_RS01445,L,ATP-dependent RNA helicase,hrpB,,3.6.4.13,ko:K03579,,,,"DEAD,HA2,Helicase_C,HrpB_C"
PN96_RS01450,M,Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits),mrcB,"GO:0000270,GO:0003674,GO:0003824,GO:0004180,GO:0004185,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006022,GO:0006023,GO:0006024,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008238,GO:0008360,GO:0008658,GO:0008955,GO:0009002,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009274,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0017171,GO:0019538,GO:0022603,GO:0022604,GO:0030203,GO:0030312,GO:0031224,GO:0031406,GO:0033218,GO:0033293,GO:0034645,GO:0036094,GO:0042221,GO:0042546,GO:0043167,GO:0043168,GO:0043170,GO:0043177,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044425,GO:0044464,GO:0045229,GO:0046677,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051128,GO:0065007,GO:0065008,GO:0070008,GO:0070011,GO:0070589,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:0140096,GO:1901135,GO:1901137,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901681","2.4.1.129,3.4.16.4",ko:K05365,R04519,,GT51,"Transgly,Transpeptidase,UB2H"
PN96_RS01455,M,esterase of the alpha-beta hydrolase superfamily,VP2496,,,ko:K07001,,,,"POTRA,Patatin"
PN96_RS01460,C,Belongs to the aconitase IPM isomerase family,acnB,,"4.2.1.3,4.2.1.99",ko:K01682,"R01324,R01325,R01900,R04425",,,"Aconitase,Aconitase_2_N,Aconitase_B_N"
PN96_RS01465,G,Belongs to the glycerate kinase type-1 family,glxK,,2.7.1.165,ko:K00865,R08572,,,Gly_kinase
PN96_RS01470,EG,COG2610 H gluconate symporter and related permeases,,,,ko:K03299,,2.A.8,,GntP_permease
PN96_RS01475,KT,COG3835 Sugar diacid utilization regulator,cdaR,,,ko:K02647,,,,"Diacid_rec,HTH_30"
PN96_RS01480,S,Belongs to the UPF0231 family,yacL,,,ko:K09910,,,,UPF0231
PN96_RS01485,K,Belongs to the P(II) protein family,glnK,,,ko:K04752,,,,P-II
PN96_RS01490,P,COG0004 Ammonia permease,amtB,,,ko:K03320,,1.A.11,,Ammonium_transp
PN96_RS01495,P,"COG1840 ABC-type Fe3 transport system, periplasmic component",fbpA,,,ko:K02012,,3.A.1.10,,SBP_bac_6
PN96_RS01500,P,"iron(III) ABC transporter, permease protein",fbpB,,,ko:K02011,,3.A.1.10,,BPD_transp_1
PN96_RS01505,P,Belongs to the ABC transporter superfamily,fbpC,,3.6.3.30,ko:K02010,,3.A.1.10,,"ABC_tran,TOBE_2"
PN96_RS01510,G,"Phosphoglucomutase/phosphomannomutase, C-terminal domain",,,,,,,,"PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV"
PN96_RS01515,G,COG3459 Cellobiose phosphorylase,chbP,,2.4.1.280,ko:K18675,R09942,,GH94,"Glyco_hydro_36,Glyco_transf_36"
PN96_RS01520,G,"Glycosyl hydrolase family 20, domain 2",exo,,3.2.1.52,ko:K12373,"R00022,R06004,R11316",,GH20,"Glyco_hydro_20,Glyco_hydro_20b"
PN96_RS01525,G,N-acetylglucosamine kinase,gspK,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006793,GO:0006796,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044424,GO:0044464,GO:0047931,GO:0097159,GO:0097367,GO:1901265,GO:1901363",2.7.1.8,ko:K18676,R01961,,,BcrAD_BadFG
PN96_RS01530,S,Glycosyl hydrolase family 9,VV2739,,,,,,,"CelD_N,Glyco_hydro_9"
PN96_RS01535,P,Belongs to the ABC transporter superfamily,,,,ko:K02032,,3.A.1.5,,"ABC_tran,oligo_HPY"
PN96_RS01540,P,Belongs to the ABC transporter superfamily,,,,ko:K02031,,3.A.1.5,,"ABC_tran,oligo_HPY"
PN96_RS01545,P,"COG1173 ABC-type dipeptide oligopeptide nickel transport systems, permease components",,,,ko:K02034,,3.A.1.5,,"BPD_transp_1,OppC_N"
PN96_RS01550,P,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",,,,ko:K02033,,3.A.1.5,,BPD_transp_1
PN96_RS01555,E,"ABC-type dipeptide transport system, periplasmic component",,,,ko:K02035,,3.A.1.5,,SBP_bac_5
PN96_RS01560,T,Histidine kinase,chiS,,,ko:K19694,,,,"HAMP,HATPase_c,HisKA,PAS,PAS_8,Response_reg"
PN96_RS01570,J,Specifically methylates the guanine in position 1207 of 16S rRNA in the 30S particle,rsmC,"GO:0000154,GO:0001510,GO:0003674,GO:0003676,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0008990,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0052914,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0140098,GO:0140102,GO:1901360,GO:1901363",2.1.1.172,ko:K00564,R07234,,,"MTS,MTS_N"
PN96_RS01575,S,permease,VP2476,,,,,,,AI-2E_transport
PN96_RS01580,H,Glutamate-1-semialdehyde aminotransferase,hemL,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009987,GO:0016740,GO:0016769,GO:0016853,GO:0016866,GO:0016869,GO:0018130,GO:0019438,GO:0019842,GO:0030170,GO:0033013,GO:0033014,GO:0034641,GO:0036094,GO:0042168,GO:0042286,GO:0042440,GO:0043167,GO:0043168,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0070279,GO:0071704,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",5.4.3.8,ko:K01845,R02272,,,Aminotran_3
PN96_RS01585,C,Iron-sulfur cluster insertion protein ErpA,erpA,"GO:0003674,GO:0005198,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016043,GO:0016226,GO:0019538,GO:0022607,GO:0031163,GO:0043167,GO:0043169,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0048037,GO:0051186,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051604,GO:0071704,GO:0071840,GO:0097428,GO:1901564",,ko:K15724,,,,Fe-S_biosyn
PN96_RS01590,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,,,,ko:K18990,,"2.A.6.2.30,8.A.1",,"Biotin_lipoyl_2,HlyD_3,HlyD_D23"
PN96_RS01595,V,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,,,,ko:K18989,,2.A.6.2.30,,ACR_tran
PN96_RS01600,M,COG0739 Membrane proteins related to metalloendopeptidases,yebA,,,,,,,"OapA,OapA_N,Peptidase_M23"
PN96_RS01605,J,Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr),tyrS,"GO:0000166,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004812,GO:0004831,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006437,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",6.1.1.1,ko:K01866,R02918,,,"S4,tRNA-synt_1b"
PN96_RS01610,P,Mg Co Ni transporter MgtE (Contains CBS domain),VP2469,,,ko:K06213,,1.A.26.1,,MgtE
PN96_RS01615,M,COG2027 D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 4),dacB,,3.4.16.4,ko:K07259,,,,Peptidase_S13
PN96_RS01620,M,COG3203 Outer membrane protein (porin),ompU,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0008150,GO:0009279,GO:0015267,GO:0015288,GO:0016020,GO:0016021,GO:0019867,GO:0022803,GO:0022829,GO:0022857,GO:0030312,GO:0030313,GO:0031224,GO:0031975,GO:0032991,GO:0044425,GO:0044462,GO:0044464,GO:0046930,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098796",,ko:K08720,,1.B.1.2.1,,"Porin_1,Porin_4"
PN96_RS01625,K,"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides",greA,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0006139,GO:0006351,GO:0006354,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019899,GO:0031323,GO:0031326,GO:0032774,GO:0032784,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0070063,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",,ko:K03624,,,,"GreA_GreB,GreA_GreB_N"
PN96_RS01630,J,"RNA-binding protein containing KH domain, possibly ribosomal protein",yhbY,,,ko:K07574,,,,CRS1_YhbY
PN96_RS01635,J,Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit,ftsJ,"GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016740,GO:0016741,GO:0022613,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360",2.1.1.166,ko:K02427,,,,FtsJ
PN96_RS01640,O,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins",ftsH,"GO:0000166,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008270,GO:0016020,GO:0016021,GO:0016787,GO:0017076,GO:0019538,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044238,GO:0044425,GO:0044464,GO:0046872,GO:0046914,GO:0070011,GO:0071704,GO:0071944,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564",,ko:K03798,,,,"AAA,FtsH_ext,Peptidase_M41"
PN96_RS01645,H,"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives",folP,,2.5.1.15,ko:K00796,"R03066,R03067",,,Pterin_bind
PN96_RS01650,G,Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate,glmM,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005975,GO:0008150,GO:0008152,GO:0008966,GO:0016853,GO:0016866,GO:0016868,GO:0043167,GO:0043169,GO:0044238,GO:0046872,GO:0071704",5.4.2.10,ko:K03431,R02060,,,"PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV"
PN96_RS01655,U,Preprotein translocase subunit SecG,secG,,,ko:K03075,,"3.A.5.1,3.A.5.2",,SecG
PN96_RS01670,J,Required for maturation of 30S ribosomal subunits,rimP,"GO:0000028,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576",,ko:K09748,,,,"DUF150,DUF150_C"
PN96_RS01675,K,Participates in both transcription termination and antitermination,nusA,,,ko:K02600,,,,"HHH_5,KH_5,NusA_N"
PN96_RS01680,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,infB,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006413,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019538,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576",,ko:K02519,,,,"GTP_EFTU,GTP_EFTU_D2,IF-2,IF2_N,IF2_assoc"
PN96_RS01685,J,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,rbfA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360",,ko:K02834,,,,RBFA
