Protein,KO,Description
PN96_RS05030,K13051,"ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]"
PN96_RS19440,K02588,nifH; nitrogenase iron protein NifH
PN96_RS19355,K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
PN96_RS15210,,
PN96_RS15805,K03814,mtgA; monofunctional glycosyltransferase [EC:2.4.99.28]
PN96_RS01380,K10913,"hapR, luxR, litR; TetR/AcrR family transcriptional regulator, hemagglutinin/protease regulatory protein"
PN96_RS14130,K03892,"arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor"
PN96_RS20765,,
PN96_RS05290,K02000,proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
PN96_RS03465,K03314,"nhaB; Na+:H+ antiporter, NhaB family"
PN96_RS16320,,
PN96_RS01935,,
PN96_RS16470,K09749,K09749; uncharacterized protein
PN96_RS11920,K09800,tamB; translocation and assembly module TamB
PN96_RS18220,K06075,"slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin"
PN96_RS11340,K03590,ftsA; cell division protein FtsA
PN96_RS18835,K18954,"pobR; AraC family transcriptional regulator, transcriptional activator of pobA"
PN96_RS13985,,
PN96_RS10300,,
PN96_RS11420,K12961,diaA; DnaA initiator-associating protein
PN96_RS19530,K02017,modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]
PN96_RS01110,K05589,ftsB; cell division protein FtsB
PN96_RS10050,K00783,rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
PN96_RS19275,,
PN96_RS04495,K22014,"Nu1, Noh; Enterobacteria phage terminase small subunit, DNA-packaging protein"
PN96_RS07420,,
PN96_RS16990,,
PN96_RS01145,K03087,rpoS; RNA polymerase nonessential primary-like sigma factor
PN96_RS06580,,
PN96_RS12780,,
PN96_RS18520,,
PN96_RS19715,K02757,"bglF, bglP; beta-glucoside PTS system EIICBA component [EC:2.7.1.-]"
PN96_RS14855,K07019,K07019; uncharacterized protein
PN96_RS22430,,
PN96_RS04895,,
PN96_RS10825,K07261,mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]
PN96_RS22190,,
PN96_RS02765,,
PN96_RS07335,,
PN96_RS19300,K00253,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
PN96_RS10720,K04767,acuB; acetoin utilization protein AcuB
PN96_RS01245,K20509,"madB, oadB, gcdB, mmdB; carboxybiotin decarboxylase [EC:7.2.4.1]"
PN96_RS11500,K03651,"cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"
PN96_RS11000,K02478,"K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"
PN96_RS01415,K00606,panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
PN96_RS20465,,
PN96_RS03070,K00563,rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
PN96_RS12700,,
PN96_RS22285,,
PN96_RS23520,,
PN96_RS13180,K02217,"ftnA, ftn; ferritin [EC:1.16.3.2]"
PN96_RS12755,K16345,xanP; xanthine permease XanP
PN96_RS11195,K01733,thrC; threonine synthase [EC:4.2.3.1]
PN96_RS16890,K00788,thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
PN96_RS14400,K02160,"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
PN96_RS07835,,
PN96_RS22315,K08738,CYC; cytochrome c
PN96_RS18765,K03786,"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"
PN96_RS18500,,
PN96_RS04130,K00568,ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
PN96_RS10940,K03720,"trpR; TrpR family transcriptional regulator, trp operon repressor"
PN96_RS01750,K02837,prfC; peptide chain release factor 3
PN96_RS05930,,
PN96_RS10775,K00937,ppk1; polyphosphate kinase [EC:2.7.4.1]
PN96_RS11515,K12340,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein"
PN96_RS12975,,
PN96_RS14125,K07181,cdgJ; c-di-GMP phosphodiesterase [EC:3.1.4.52]
PN96_RS20360,,
PN96_RS10200,K02557,motB; chemotaxis protein MotB
PN96_RS16455,,
PN96_RS23185,K05349,bglX; beta-glucosidase [EC:3.2.1.21]
PN96_RS05715,K03812,rmf; ribosome modulation factor
PN96_RS16220,K23181,fecB; ferric citrate transport system substrate-binding protein
PN96_RS02370,K03470,rnhB; ribonuclease HII [EC:3.1.26.4]
PN96_RS21200,K00882,fruK; 1-phosphofructokinase [EC:2.7.1.56]
PN96_RS24170,,
PN96_RS11255,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
PN96_RS21785,K01640,"HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]"
PN96_RS23630,,
PN96_RS21400,K07126,K07126; uncharacterized protein
PN96_RS22515,,
PN96_RS16770,K00874,kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
PN96_RS01000,K06980,ygfZ; tRNA-modifying protein YgfZ
PN96_RS05445,K01908,"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
PN96_RS15765,K19285,nfrA1; FMN reductase (NADPH) [EC:1.5.1.38]
PN96_RS16175,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS11325,,
PN96_RS14870,K11748,kefG; glutathione-regulated potassium-efflux system ancillary protein KefG
PN96_RS22000,K07140,K07140; MOSC domain-containing protein
PN96_RS01490,K03320,"amt, AMT, MEP; ammonium transporter, Amt family"
PN96_RS14565,,
PN96_RS05570,K19416,yccA; modulator of FtsH protease
PN96_RS16610,K23773,"hdfR; LysR family transcriptional regulator, flagellar master operon regulator"
PN96_RS17030,K02014,TC.FEV.OM; iron complex outermembrane recepter protein
PN96_RS22855,K02003,ABC.CD.A; putative ABC transport system ATP-binding protein
PN96_RS16075,K25272,tynB; tyramine oxidase subunit B [EC:1.4.3.-]
PN96_RS21360,K00166,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]"
PN96_RS00145,,
PN96_RS11990,K00957,cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
PN96_RS16275,,
PN96_RS04970,,
PN96_RS09880,K06942,ychF; ribosome-binding ATPase
PN96_RS13530,K03217,"yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase"
PN96_RS23100,K01992,ABC-2.P; ABC-2 type transport system permease protein
PN96_RS15595,K00639,"kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]"
PN96_RS07705,K06131,clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]
PN96_RS10155,,
PN96_RS07005,,
PN96_RS06380,,
PN96_RS06095,K26939,"norM, mdtK; MATE family, multidrug efflux pump"
PN96_RS22480,K00304,"soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]"
PN96_RS20355,,
PN96_RS02120,K08218,"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"
PN96_RS16360,K03387,ahpF; NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
PN96_RS06220,K07394,K07394; SM-20-related protein
PN96_RS15125,,
PN96_RS14245,,
PN96_RS10600,K17713,bamB; outer membrane protein assembly factor BamB
PN96_RS03635,K15545,mlc; transcriptional regulator of PTS gene
PN96_RS21625,K03782,katG; catalase-peroxidase [EC:1.11.1.21]
PN96_RS21250,K00281,"GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]"
PN96_RS13595,K02115,"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
PN96_RS16045,K06720,ectC; L-ectoine synthase [EC:4.2.1.108]
PN96_RS06195,K18890,"mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump"
PN96_RS13080,K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD"
PN96_RS15315,K18893,"vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump"
PN96_RS02655,K02412,fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
PN96_RS02970,K01963,accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
PN96_RS04955,,
PN96_RS15705,,
PN96_RS12545,,
PN96_RS07010,,
PN96_RS16180,K02031/K02032,
PN96_RS01270,,
PN96_RS06335,,
PN96_RS09665,K02397,flgL; flagellar hook-associated protein 3 FlgL
PN96_RS07325,K15777,"DODA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"
PN96_RS10700,K03210,yajC; preprotein translocase subunit YajC
PN96_RS11640,,
PN96_RS10355,,
PN96_RS20005,K03658,helD; DNA helicase IV [EC:5.6.2.4]
PN96_RS19415,K02575,"NRT2, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"
PN96_RS03445,K20955,cdgK; diguanylate cyclase [EC:2.7.7.65]
PN96_RS03390,K15583,oppD; oligopeptide transport system ATP-binding protein
PN96_RS05650,K08968,msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
PN96_RS09640,K02784,ptsH; phosphocarrier protein HPr
PN96_RS09875,K01056,"PTH1, PTRH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"
PN96_RS01700,K00962,"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
PN96_RS03945,K10914,"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
PN96_RS12155,K02892,"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
PN96_RS19655,K03839,"fldA, nifF, isiB; flavodoxin I"
PN96_RS16715,K20956,cdgA; diguanylate cyclase [EC:2.7.7.65]
PN96_RS04330,,
PN96_RS13605,K02114,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
PN96_RS07190,K01141,"sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]"
PN96_RS16780,,
PN96_RS17555,K16077,scrY; sucrose porin
PN96_RS11955,K02003,ABC.CD.A; putative ABC transport system ATP-binding protein
PN96_RS18450,K03750,moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
PN96_RS04745,,
PN96_RS13430,,
PN96_RS05880,K11072,potA; spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
PN96_RS04170,,
PN96_RS04220,K03451,"TC.BCT; betaine/carnitine transporter, BCCT family"
PN96_RS19960,K10440,rbsC; ribose transport system permease protein
PN96_RS16830,,
PN96_RS11335,K03531,ftsZ; cell division protein FtsZ
PN96_RS03785,,
PN96_RS16840,,
PN96_RS19280,K01640,"HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]"
PN96_RS14430,,
PN96_RS09680,K02394,flgI; flagellar P-ring protein FlgI
PN96_RS06370,K07240,chrA; chromate transporter
PN96_RS21100,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS12495,K02851,"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
PN96_RS09625,K06203,cysZ; CysZ protein
PN96_RS21175,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS00945,K09807,K09807; uncharacterized protein
PN96_RS16445,,
PN96_RS03780,,
PN96_RS04520,,
PN96_RS16565,,
PN96_RS16655,,
PN96_RS17115,K07093,K07093; uncharacterized protein
PN96_RS10315,,
PN96_RS02235,K02909,"RP-L31, rpmE; large subunit ribosomal protein L31"
PN96_RS11160,K09861,K09861; uncharacterized protein
PN96_RS06190,K18889,"mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump"
PN96_RS08465,K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
PN96_RS02085,K03152,thiJ; protein deglycase [EC:3.5.1.124]
PN96_RS10705,K00773,tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
PN96_RS03145,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
PN96_RS07205,K01489,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"
PN96_RS15305,,
PN96_RS16575,K01992,ABC-2.P; ABC-2 type transport system permease protein
PN96_RS16260,K01804,araA; L-arabinose isomerase [EC:5.3.1.4]
PN96_RS18190,K09802,K09802; uncharacterized protein
PN96_RS13850,K03148,thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]
PN96_RS07305,K01468,"hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"
PN96_RS13900,K09930,K09930; uncharacterized protein
PN96_RS14925,K07237,"tusB, dsrH; tRNA 2-thiouridine synthesizing protein B"
PN96_RS14165,,
PN96_RS15860,K00868,"pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]"
PN96_RS16820,K23518,"MACROD, ymdB; O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]"
PN96_RS18305,,
PN96_RS04185,,
PN96_RS12865,K02454,gspE; general secretion pathway protein E [EC:7.4.2.8]
PN96_RS05490,,
PN96_RS03520,K06179,rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
PN96_RS05130,,
PN96_RS11375,K01929,murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
PN96_RS17430,K04078,"groES, HSPE1; chaperonin GroES"
PN96_RS23000,,
PN96_RS16465,K14054,mpaA; murein peptide amidase A
PN96_RS08420,,
PN96_RS05725,K04770,lonH; Lon-like ATP-dependent protease [EC:3.4.21.-]
PN96_RS11930,K07304,msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
PN96_RS05810,,
PN96_RS02705,K02401,flhB; flagellar biosynthesis protein FlhB
PN96_RS18170,,
PN96_RS18325,K02570,napD; periplasmic nitrate reductase NapD
PN96_RS20545,,
PN96_RS08540,K10022,aotJ; arginine/ornithine transport system substrate-binding protein
PN96_RS09310,K03722,dinG; ATP-dependent DNA helicase DinG [EC:5.6.2.3]
PN96_RS11330,K02535,lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
PN96_RS12070,K02876,"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
PN96_RS05960,,
PN96_RS15310,,
PN96_RS09420,K01647,"CS, gltA; citrate synthase [EC:2.3.3.1]"
PN96_RS18795,K04100,"ligA; protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8]"
PN96_RS14840,K10914,"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
PN96_RS12790,,
PN96_RS09050,K05812,"DTWD2, tapT; tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]"
PN96_RS13660,,
PN96_RS12635,K00989,rph; ribonuclease PH [EC:2.7.7.56]
PN96_RS03470,K03603,"fadR; GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA"
PN96_RS16165,K01190,lacZ; beta-galactosidase [EC:3.2.1.23]
PN96_RS23035,,
PN96_RS17905,K02529,"galR; LacI family transcriptional regulator, galactose operon repressor"
PN96_RS06790,,
PN96_RS13130,K02282,"cpaE, tadZ; pilus assembly protein CpaE"
PN96_RS19795,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
PN96_RS10175,,
PN96_RS04800,K04072,adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
PN96_RS16490,,
PN96_RS18970,K02617,paaY; phenylacetic acid degradation protein
PN96_RS17060,,
PN96_RS20695,,
PN96_RS13150,K02278,"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"
PN96_RS15640,,
PN96_RS03455,K07039,K07039; uncharacterized protein
PN96_RS06785,,
PN96_RS08475,K09909,K09909; uncharacterized protein
PN96_RS14590,K04568,"epmA, poxA; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]"
PN96_RS17835,K09017,rutR; TetR/AcrR family transcriptional regulator
PN96_RS05265,,
PN96_RS06240,K14445,"SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5"
PN96_RS08510,K06518,cidA; holin-like protein
PN96_RS19055,K21948,otnK; 3-dehydrotetronate 4-kinase [EC:2.7.1.217]
PN96_RS21695,K09022,"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
PN96_RS21710,K02300,cyoD; cytochrome o ubiquinol oxidase subunit IV
PN96_RS20260,,
PN96_RS09120,K11689,"dctQ; C4-dicarboxylate transporter, DctQ subunit"
PN96_RS18355,K01258,pepT; tripeptide aminopeptidase [EC:3.4.11.4]
PN96_RS03665,K00945,cmk; CMP/dCMP kinase [EC:2.7.4.25]
PN96_RS20770,K02232,"cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"
PN96_RS08450,K03694,clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
PN96_RS03870,,
PN96_RS01035,K03803,rseC; sigma-E factor negative regulatory protein RseC
PN96_RS17680,K01866,"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]"
PN96_RS19615,K23916,nifL; nitrogen fixation regulatory protein
PN96_RS03680,K08992,lapA; lipopolysaccharide assembly protein A
PN96_RS10140,K15723,syd; SecY interacting protein Syd
PN96_RS16245,K10537,araF; L-arabinose transport system substrate-binding protein
PN96_RS17635,K02055,ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
PN96_RS11860,K03402,"argR, ahrC; transcriptional regulator of arginine metabolism"
PN96_RS01505,K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
PN96_RS13515,K02914,"RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34"
PN96_RS00525,K02065,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
PN96_RS20585,,
PN96_RS00985,K18800,ubiI; 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]
PN96_RS08425,K00800,aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
PN96_RS13650,K01652,"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
PN96_RS15110,K07283,ydiY; putative salt-induced outer membrane protein
PN96_RS15520,K06975,K06975; uncharacterized protein
PN96_RS08170,K07039,K07039; uncharacterized protein
PN96_RS02060,K08304,mltA; peptidoglycan lytic transglycosylase A [EC:4.2.2.29]
PN96_RS21065,,
PN96_RS16675,K01183,E3.2.1.14; chitinase [EC:3.2.1.14]
PN96_RS19420,K00363,nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
PN96_RS21110,,
PN96_RS01895,,
PN96_RS17630,,
PN96_RS03845,,
PN96_RS23140,,
PN96_RS16550,,
PN96_RS08995,,
PN96_RS03010,K00759,"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"
PN96_RS22300,,
PN96_RS21385,K22103,"glcR; DeoR family transcriptional regulator, carbon catabolite repression regulator"
PN96_RS06430,,
PN96_RS21680,K05020,"opuD, betL; glycine betaine transporter"
PN96_RS12610,K03630,radC; DNA repair protein RadC
PN96_RS13760,K07566,"tsaC, rimN, SUA5, YRDC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]"
PN96_RS03190,K07014,K07014; uncharacterized protein
PN96_RS11770,K01704,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
PN96_RS06020,,
PN96_RS17695,K01007,"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
PN96_RS09690,K02392,flgG; flagellar basal-body rod protein FlgG
PN96_RS06670,K01476,"rocF, arg; arginase [EC:3.5.3.1]"
PN96_RS10260,K07738,nrdR; transcriptional repressor NrdR
PN96_RS09715,K02387,flgB; flagellar basal-body rod protein FlgB
PN96_RS11300,K01955,"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
PN96_RS01385,K00760,"hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
PN96_RS16150,K00965,"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
PN96_RS09785,,
PN96_RS04675,,
PN96_RS18405,K03776,aer; aerotaxis receptor
PN96_RS21215,,
PN96_RS13190,,
PN96_RS22125,,
PN96_RS10330,K01952,"PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
PN96_RS19630,K03615,rnfC; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]
PN96_RS20485,K01620,ltaE; threonine aldolase [EC:4.1.2.48]
PN96_RS20960,,
PN96_RS21140,K21606,endo_I; endo-chitodextinase [EC:3.2.1.202]
PN96_RS23030,,
PN96_RS08880,,
PN96_RS01950,,
PN96_RS09245,K03317,"TC.CNT; concentrative nucleoside transporter, CNT family"
PN96_RS07125,,
PN96_RS18740,,
PN96_RS19690,K07552,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
PN96_RS17315,K02012,"afuA, fbpA; iron(III) transport system substrate-binding protein"
PN96_RS12210,K02553,"rraA, menG; regulator of ribonuclease activity A"
PN96_RS10295,K01270,pepD; dipeptidase D [EC:3.4.13.-]
PN96_RS09270,K03609,minD; septum site-determining protein MinD
PN96_RS03360,K03637,"moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
PN96_RS14830,K06447,astD; succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]
PN96_RS06400,K01426,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
PN96_RS05975,K02379,fdhD; FdhD protein
PN96_RS03175,K02014,TC.FEV.OM; iron complex outermembrane recepter protein
PN96_RS09335,K01887,"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"
PN96_RS20925,,
PN96_RS05905,K12410,"cobB, srtN, npdA; NAD-dependent protein deacetylase/lipoamidase [EC:2.3.1.286 2.3.1.313]"
PN96_RS17445,,
PN96_RS04375,,
PN96_RS20315,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS14935,K02992,"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
PN96_RS14625,K03071,secB; preprotein translocase subunit SecB
PN96_RS05925,,
PN96_RS09525,K10921,toxR; cholera toxin transcriptional activator
PN96_RS01625,K03624,greA; transcription elongation factor GreA
PN96_RS10635,K07751,pepB; PepB aminopeptidase [EC:3.4.11.23]
PN96_RS14440,,
PN96_RS09700,K02390,flgE; flagellar hook protein FlgE
PN96_RS11580,K00950,folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
PN96_RS11055,K14683,"SLC34A, NPT, nptA; solute carrier family 34 (sodium-dependent phosphate cotransporter)"
PN96_RS16615,K06911,"PIR; quercetin 2,3-dioxygenase [EC:1.13.11.24]"
PN96_RS15380,,
PN96_RS15880,,
PN96_RS19435,K00372,"nasC, nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]"
PN96_RS00420,,
PN96_RS03405,,
PN96_RS10000,K06168,miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
PN96_RS20195,,
PN96_RS23855,,
PN96_RS05170,,
PN96_RS22380,K00854,"xylB, XYLB; xylulokinase [EC:2.7.1.17]"
PN96_RS24265,,
PN96_RS15270,,
PN96_RS07805,K03532,"torC; trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC"
PN96_RS10735,K04761,"oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
PN96_RS00895,,
PN96_RS09330,K09907,K09907; uncharacterized protein
PN96_RS15975,K03835,mtr; tryptophan-specific transport protein
PN96_RS19810,K03315,"nhaC; Na+:H+ antiporter, NhaC family"
PN96_RS15155,,
PN96_RS01015,K00278,nadB; L-aspartate oxidase [EC:1.4.3.16]
PN96_RS08900,,
PN96_RS06145,,
PN96_RS15290,K05297,"rubB, alkT; rubredoxin---NAD+ reductase [EC:1.18.1.1]"
PN96_RS15030,K04761,"oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
PN96_RS15835,,
PN96_RS14155,,
PN96_RS09060,K02237,comEA; competence protein ComEA
PN96_RS07685,K11933,hcr; NADH oxidoreductase Hcr [EC:1.-.-.-]
PN96_RS03570,K02619,pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
PN96_RS18595,K03381,"catA; catechol 1,2-dioxygenase [EC:1.13.11.1]"
PN96_RS20115,K03326,"TC.DCUC, dcuC, dcuD; C4-dicarboxylate transporter, DcuC family"
PN96_RS15220,,
PN96_RS19340,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
PN96_RS03125,,
PN96_RS13775,,
PN96_RS15245,K09900,E3.5.1.135; N4-acetylcytidine amidohydrolase [EC:3.5.1.135]
PN96_RS21290,,
PN96_RS21315,K03837,sdaC; serine transporter
PN96_RS03020,K09747,ebfC; nucleoid-associated protein EbfC
PN96_RS14980,K12525,metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]
PN96_RS17310,K03430,phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]
PN96_RS22215,,
PN96_RS07310,K01479,hutG; formiminoglutamase [EC:3.5.3.8]
PN96_RS16110,K01212,"sacC, levB; levanase [EC:3.2.1.65]"
PN96_RS14085,K03733,xerC; integrase/recombinase XerC
PN96_RS15545,,
PN96_RS21345,K04046,yegD; hypothetical chaperone protein
PN96_RS13615,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS08865,,
PN96_RS02415,K01069,"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
PN96_RS09685,K02393,flgH; flagellar L-ring protein FlgH
PN96_RS12920,,
PN96_RS18430,,
PN96_RS07980,K06954,K06954; uncharacterized protein
PN96_RS07065,,
PN96_RS16400,K13821,"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"
PN96_RS05410,K07795,tctC; putative tricarboxylic transport membrane protein
PN96_RS13740,K03747,smg; Smg protein
PN96_RS04100,,
PN96_RS08220,K03517,nadA; quinolinate synthase [EC:2.5.1.72]
PN96_RS18995,,
PN96_RS03250,K04564,"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
PN96_RS05865,K14058,ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA
PN96_RS06680,K00344,"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
PN96_RS18335,K07674,"narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]"
PN96_RS19780,K26061,amaB; L-aminoadipate-semialdehyde dehydrogenase
PN96_RS22570,,
PN96_RS14595,,
PN96_RS15255,K23256,curA; NADPH-dependent curcumin reductase [EC:1.3.1.-]
PN96_RS08065,,
PN96_RS20290,,
PN96_RS17495,K00763,"pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]"
PN96_RS00105,K02863,"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
PN96_RS17530,,
PN96_RS15145,K05539,dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-]
PN96_RS17900,K15783,doeA; ectoine hydrolase [EC:3.5.4.44]
